Ref_Date,GEO,VALUE,BEVERAGE,PRODUCT,Vector,Coordinate,Value
1999,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"3,505"
2000,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"3,558"
2001,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"3,608"
2002,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"3,657"
2003,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"3,807"
2004,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"3,954"
2005,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"4,086"
2006,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"4,185"
2007,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"4,318"
2008,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"4,417"
2009,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"4,487"
2010,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"4,427"
2011,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"4,272"
2012,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"4,174"
2013,British Columbia,Volume in litres,Rum,"Total products (x 1,000)",v20857686,11.2.7.1,"4,171"
1993,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,634"
1994,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,560"
1995,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,579"
1996,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,515"
1997,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,296"
1998,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,145"
1999,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,004"
2000,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,003"
2001,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"5,954"
2002,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,021"
2003,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,255"
2004,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,391"
2005,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,469"
2006,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,591"
2007,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,614"
2008,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,654"
2009,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,602"
2010,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,348"
2011,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,138"
2012,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,254"
2013,British Columbia,Volume in litres,Whisky,"Total products (x 1,000)",v20857687,11.2.8.1,"6,048"
1993,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"4,236"
1994,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"4,289"
1995,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"4,375"
1996,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"4,440"
1997,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"4,571"
1998,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"4,616"
1999,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"4,674"
2000,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"4,705"
2001,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"4,846"
2002,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"5,004"
2003,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"5,477"
2004,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"5,843"
2005,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"6,153"
2006,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"6,569"
2007,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"7,058"
2008,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"7,604"
2009,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"7,651"
2010,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"7,683"
2011,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"7,447"
2012,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"7,647"
2013,British Columbia,Volume in litres,Vodka,"Total products (x 1,000)",v20857688,11.2.9.1,"7,942"
1993,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,021"
1994,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,029"
1995,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,938"
1996,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,982
1997,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,038"
1998,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,992
1999,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,020"
2000,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,047"
2001,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,976
2002,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,899
2003,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,913
2004,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,850
2005,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,952
2006,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,195"
2007,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,140"
2008,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,145"
2009,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,320"
2010,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,232"
2011,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,156"
2012,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,252"
2013,British Columbia,Volume in litres,Other spirits,"Total products (x 1,000)",v20857689,11.2.10.1,"1,214"
1993,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"1,400"
1994,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"1,483"
1995,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"1,029"
1996,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"1,919"
1997,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"2,401"
1998,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"3,283"
1999,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"4,113"
2000,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"4,826"
2001,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"5,940"
2002,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"8,892"
2003,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"9,682"
2004,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"10,011"
2005,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"10,364"
2006,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"9,682"
2007,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"10,377"
2008,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"10,126"
2009,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"7,792"
2010,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"9,137"
2011,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"9,173"
2012,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"10,277"
2013,British Columbia,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857690,11.2.11.1,"12,550"
1993,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"42,442"
1994,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"42,231"
1995,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"43,159"
1996,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"44,632"
1997,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"44,555"
1998,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"44,657"
1999,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"44,728"
2000,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"45,692"
2001,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"46,279"
2002,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"47,758"
2003,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"49,284"
2004,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"51,533"
2005,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"55,036"
2006,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"58,518"
2007,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"62,805"
2008,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"67,200"
2009,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"72,684"
2010,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"76,044"
2011,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"76,288"
2012,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"77,421"
2013,British Columbia,Volume in litres,Total wines,"Total products (x 1,000)",v20857696,11.2.12.1,"78,174"
1993,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"5,381"
1994,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"5,641"
1995,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"6,872"
1996,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"8,597"
1997,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"8,933"
1998,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"8,730"
1999,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"9,025"
2000,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"8,592"
2001,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"8,468"
2002,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"7,929"
2003,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"8,000"
2004,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"8,142"
2005,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"8,376"
2006,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"8,678"
2007,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"9,574"
2008,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"10,435"
2009,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"13,916"
2010,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"15,567"
2011,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"14,901"
2012,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"14,684"
2013,British Columbia,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857692,11.2.13.1,"13,874"
1993,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,670"
1994,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,587"
1995,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,569"
1996,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,507"
1997,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,440"
1998,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,414"
1999,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,407"
2000,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,708"
2001,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,270"
2002,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,275"
2003,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,258"
2004,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,278"
2005,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,314"
2006,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,378"
2007,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,429"
2008,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,558"
2009,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,483"
2010,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,570"
2011,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,572"
2012,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,587"
2013,British Columbia,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857693,11.2.14.1,"1,757"
1993,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"31,827"
1994,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"32,174"
1995,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"32,372"
1996,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"32,253"
1997,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"32,003"
1998,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"32,316"
1999,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"32,266"
2000,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"33,144"
2001,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"34,302"
2002,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"36,479"
2003,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"38,114"
2004,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"40,348"
2005,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"43,821"
2006,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"47,112"
2007,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"50,438"
2008,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"53,918"
2009,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"55,861"
2010,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"57,218"
2011,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"58,429"
2012,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"60,083"
2013,British Columbia,Volume in litres,Other wines,"Total products (x 1,000)",v20857694,11.2.15.1,"61,891"
1993,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"3,564"
1994,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"2,829"
1995,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"2,346"
1996,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"2,275"
1997,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"2,179"
1998,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"2,197"
1999,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"2,030"
2000,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"2,248"
2001,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"2,239"
2002,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"2,075"
2003,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"1,912"
2004,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"1,765"
2005,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"1,525"
2006,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"1,350"
2007,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"1,364"
2008,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"1,289"
2009,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"1,424"
2010,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"1,689"
2011,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"1,386"
2012,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,"1,067"
2013,British Columbia,Volume in litres,"Coolers, wines","Total products (x 1,000)",v20857695,11.2.16.1,652
1993,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"255,216"
1994,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"260,249"
1995,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"264,822"
1996,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"266,339"
1997,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"261,301"
1998,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"262,403"
1999,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"263,471"
2000,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"256,564"
2001,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"260,149"
2002,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"259,686"
2003,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"260,247"
2004,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"268,844"
2005,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"270,117"
2006,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"272,023"
2007,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"280,756"
2008,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"284,614"
2009,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"283,142"
2010,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"293,749"
2011,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"272,541"
2012,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"272,825"
2013,British Columbia,Volume in litres,Beer,"Total products (x 1,000)",v20857697,11.2.17.1,"270,760"
1993,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"8,878"
1994,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"10,373"
1995,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"11,456"
1996,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"12,264"
1997,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"13,206"
1998,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"14,122"
1999,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"14,686"
2000,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"16,206"
2001,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"16,545"
2002,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"18,140"
2003,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"19,615"
2004,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"20,913"
2005,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"23,448"
2006,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"25,803"
2007,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"27,955"
2008,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"30,125"
2009,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"30,740"
2010,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"31,494"
2011,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"32,509"
2012,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"33,526"
2013,British Columbia,Volume in litres,Red wines,"Total products (x 1,000)",v20858055,11.2.18.1,"33,868"
1993,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"22,128"
1994,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"21,492"
1995,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"20,665"
1996,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"19,597"
1997,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"18,421"
1998,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"17,777"
1999,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"17,227"
2000,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"16,720"
2001,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"16,931"
2002,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"17,415"
2003,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"17,555"
2004,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"18,493"
2005,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"19,535"
2006,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"20,498"
2007,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"21,772"
2008,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"23,200"
2009,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"24,364"
2010,British Columbia,Volume in litres,White wines,"Total products (x 1,000)",v20858091,11.2.19.1,"25,078"
